bookID,title,authors,average_rating
18184,The Complete Theory Fun Factory: Music Theory Puzzles and Games for the Early Grades,Ian        Martin/Katie Elliott,5
20954,Winchester Shotguns,Dennis Adler/R.L. Wilson,5
4287,Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5
17830,Bulgakov's the Master and Margarita: The Text as a Cipher,Elena N. Mahlow,5
2560,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5
17224,The Diamond Color Meditation: Color Pathway to the Soul,John  Diamond,5
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5
2843,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writingâ€”and Loving Literature,Tara MacCarthy,5
14741,Zone of the Enders: The 2nd Runner Official Strategy Guide,Tim Bogenn,5
20957,Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,5
